레벨시작,레벨끝,지역,지명,우선순위,스타포스
140,144,시간의신전,퀘스트,3,0
140,144,시간의신전,또 다른 망각의 길 3(★90),2,1
145,149,시간의신전,퀘스트,3,0
140,159,미나르숲,남겨진 용의 둥지 1 (★70),1,1
145,149,커닝타워,2층 카페<4> (★80),4,1
145,164,커닝타워,3층 펜시샵<2>,2,0
150,154,테마던전,암벽거인 콜로서스,3,0
150,159,커닝타워,5충 화장품 매장<4> (★80),2,1
160,179,지구방위본부,UFO내부:복도 H01 (★140),4,1
160,169,지구방위본부,로스웰초원2,2,0
160,169,파괴된 헤네시스,퀘스트,3,0
160,169,파괴된 헤네시스,파괴된 헤네시스 시장,1,0
170,179,지구방위본부,UFO내부:복도 203,2,0
170,179,테마던전,크리티아스,3,0
170,179,기사단의 요새,기사의 전당 2,1,0
180,184,황혼의 페리온,인적이 끊긴 남쪽령,3,0
180,184,황혼의 페리온,적막한 바위길,2,0
180,184,황혼의 페리온,타오르는 바위 언덕,1,0
185,194,황혼의 페리온,버려진 발굴지역 2,3,0
185,189,테마던전,여우골짜기,4,0
185,194,황혼의 페리온,버려진 발굴지역 4,2,0
190,194,테마던전,여우골짜기-여우나무중턱3,1,0
194,198,헤이븐,기계무덤 언덕 4,3,0
194,198,헤이븐,스카이라인 올라가는 길,2,0
194,198,헤이븐,기계무덤 언덕 5,1,0
199,200,헤이븐,퀘스트,3,0
199,200,타락한 세계수,상단 줄기 갈림길,2,0
